"","parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"185","mMZyD","bratan",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"186","mMZyD","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"187","fG","čoya-voka",NA,NA,NA,"UR11","turkin_komi_2015",""
"188","fB","vok",NA,NA,NA,"UR11","turkin_komi_2015",""
"189","fZ","čoy",NA,NA,NA,"UR11","turkin_komi_2015",""
"190","fyB","ičötdžɩk vok",NA,NA,NA,"UR11","turkin_komi_2015",""
"191","fyZ","ičötdžɩk čoy",NA,NA,NA,"UR11","turkin_komi_2015",""
"192","fF","batʸ",NA,NA,NA,"UR11","turkin_komi_2015",""
"193","fF","ay",NA,NA,NA,"UR11","turkin_komi_2015",""
"194","fM","mam",NA,NA,NA,"UR11","turkin_komi_2015",""
"195","fC","yɩlöm",NA,NA,NA,"UR11","turkin_komi_2015",""
"196","fS","pi",NA,NA,NA,"UR11","turkin_komi_2015",""
"197","fD","nɩv",NA,NA,NA,"UR11","turkin_komi_2015",""
"198","fFF","ɩdžɩd ay",NA,NA,NA,"UR11","turkin_komi_2015",""
"199","fFF","pölʸ",NA,NA,NA,"UR11","turkin_komi_2015",""
"200","fFM","pöč",NA,NA,NA,"UR11","turkin_komi_2015",""
"201","fFM","ɩdžɩd mam",NA,NA,NA,"UR11","turkin_komi_2015",""
"202","fMF","ɩdžɩd ay",NA,NA,NA,"UR11","turkin_komi_2015",""
"203","fMF","pölʸ",NA,NA,NA,"UR11","turkin_komi_2015",""
"204","fMM","pöč",NA,NA,NA,"UR11","turkin_komi_2015",""
"205","fMM","ɩdžɩd mam",NA,NA,NA,"UR11","turkin_komi_2015",""
"206","fSS","pölʸön šuɩsʸ",NA,NA,NA,"UR11","turkin_komi_2015",""
"207","fSS","pögön šuɩsʸ",NA,NA,NA,"UR11","turkin_komi_2015",""
"208","fSD","pölʸön šuɩsʸ",NA,NA,NA,"UR11","turkin_komi_2015",""
"209","fSD","pögön šuɩsʸ",NA,NA,NA,"UR11","turkin_komi_2015",""
"210","fDS","pölʸön šuɩsʸ",NA,NA,NA,"UR11","turkin_komi_2015",""
"211","fDS","pögön šuɩsʸ",NA,NA,NA,"UR11","turkin_komi_2015",""
"212","fDD","pölʸön šuɩsʸ",NA,NA,NA,"UR11","turkin_komi_2015",""
"213","fDD","pögön šuɩsʸ",NA,NA,NA,"UR11","turkin_komi_2015",""
"214","fFB","dyadʸ",NA,NA,NA,"UR11","turkin_komi_2015",""
"215","fFZ","ob",NA,NA,NA,"UR11","turkin_komi_2015",""
"216","fMB","čož",NA,NA,NA,"UR11","turkin_komi_2015",""
"217","fMZ","ičinʸ",NA,NA,NA,"UR11","turkin_komi_2015",""
"218","fBS","plemyannik",NA,NA,NA,"UR11","turkin_komi_2015",""
"219","fBD","plemyannic̷a",NA,NA,NA,"UR11","turkin_komi_2015",""
"220","fZS","plemyannik",NA,NA,NA,"UR11","turkin_komi_2015",""
"221","fZD","plemyannic̷a",NA,NA,NA,"UR11","turkin_komi_2015",""
"222","fFZD","voga vok",NA,NA,NA,"UR11","turkin_komi_2015",""
"223","fFZD","bratan",NA,NA,NA,"UR11","turkin_komi_2015",""
