,X,parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
134,1112,mMyBD,serkku,,male ego's mother's brother's daughter,,,,Inferred; 
135,1121,mMeZD,serkku,,male ego's mother's sister's daughter,,,,Inferred; 
136,1122,mMyZD,serkku,,male ego's mother's sister's daughter,,,,Inferred; 
137,1053,mFBeS,serkku,,male ego's father's brother's son,,,,Inferred; 
138,1054,mFByS,serkku,,male ego's father's brother's son,,,,Inferred; 
139,1063,mFZeS,serkku,,male ego's father's sister's son,,,,Inferred; 
140,1064,mFZyS,serkku,,male ego's father's sister's son,,,,Inferred; 
141,1093,mFBeD,serkku,,male ego's father's brother's daughter,,,,Inferred; 
142,1094,mFByD,serkku,,male ego's father's brother's daughter,,,,Inferred; 
143,1103,mFZeD,serkku,,male ego's father's sister's daughter,,,,Inferred; 
144,1104,mFZyD,serkku,,male ego's father's sister's daughter,,,,Inferred; 
145,1073,mMBeS,serkku,,male ego's mother's brother's son,,,,Inferred; 
146,1074,mMByS,serkku,,male ego's mother's brother's son,,,,Inferred; 
147,1083,mMZeS,serkku,,male ego's mother's sister's son,,,,Inferred; 
148,1084,mMZyS,serkku,,male ego's mother's sister's son,,,,Inferred; 
149,1113,mMBeD,serkku,,male ego's mother's brother's daughter,,,,Inferred; 
150,1114,mMByD,serkku,,male ego's mother's brother's daughter,,,,Inferred; 
151,1123,mMZeD,serkku,,male ego's mother's sister's daughter,,,,Inferred; 
152,1124,mMZyD,serkku,,male ego's mother's sister's daughter,,,,Inferred; 
153,1131,fFeBS,serkku,,female ego's father's brother's son,,,,Inferred; 
154,1132,fFyBS,serkku,,female ego's father's brother's son,,,,Inferred; 
155,1141,fFeZS,serkku,,female ego's father's sister's son,,,,Inferred; 
156,1142,fFyZS,serkku,,female ego's father's sister's son,,,,Inferred; 
157,1171,fFeBD,serkku,,female ego's father's brother's daughter,,,,Inferred; 
158,1172,fFyBD,serkku,,female ego's father's brother's daughter,,,,Inferred; 
159,1181,fFeZD,serkku,,female ego's father's sister's daughter,,,,Inferred; 
160,1182,fFyZD,serkku,,female ego's father's sister's daughter,,,,Inferred; 
161,1151,fMeBS,serkku,,female ego's mother's brother's son,,,,Inferred; 
162,1152,fMyBS,serkku,,female ego's mother's brother's son,,,,Inferred; 
163,1161,fMeZS,serkku,,female ego's mother's sister's son,,,,Inferred; 
164,1162,fMyZS,serkku,,female ego's mother's sister's son,,,,Inferred; 
165,1191,fMeBD,serkku,,female ego's mother's brother's daughter,,,,Inferred; 
166,1192,fMyBD,serkku,,female ego's mother's brother's daughter,,,,Inferred; 
167,1201,fMeZD,serkku,,female ego's mother's sister's daughter,,,,Inferred; 
168,1202,fMyZD,serkku,,female ego's mother's sister's daughter,,,,Inferred; 
169,1133,fFBeS,serkku,,female ego's father's brother's son,,,,Inferred; 
170,1134,fFByS,serkku,,female ego's father's brother's son,,,,Inferred; 
171,1143,fFZeS,serkku,,female ego's father's sister's son,,,,Inferred; 
172,1144,fFZyS,serkku,,female ego's father's sister's son,,,,Inferred; 
173,1173,fFBeD,serkku,,female ego's father's brother's daughter,,,,Inferred; 
174,1174,fFByD,serkku,,female ego's father's brother's daughter,,,,Inferred; 
175,1183,fFZeD,serkku,,female ego's father's sister's daughter,,,,Inferred; 
176,1184,fFZyD,serkku,,female ego's father's sister's daughter,,,,Inferred; 
177,1153,fMBeS,serkku,,female ego's mother's brother's son,,,,Inferred; 
178,1154,fMByS,serkku,,female ego's mother's brother's son,,,,Inferred; 
179,1163,fMZeS,serkku,,female ego's mother's sister's son,,,,Inferred; 
180,1164,fMZyS,serkku,,female ego's mother's sister's son,,,,Inferred; 
181,1193,fMBeD,serkku,,female ego's mother's brother's daughter,,,,Inferred; 
182,1194,fMByD,serkku,,female ego's mother's brother's daughter,,,,Inferred; 
183,1203,fMZeD,serkku,,female ego's mother's sister's daughter,,,,Inferred; 
184,1204,fMZyD,serkku,,female ego's mother's sister's daughter,,,,Inferred; 
