parameter,word,ipa,description,alternative,source_raw,source_bibtext,comments
fHyZ,maakkâv,,,,,Pelto 1962: 68–69,
fco-W,,,,,,,
fco-H,,,,,,,
fFW(notM),jeäʹnnpieʹll,,,,,Moshnikoff & Moshnikoff 2021: 449,
fMH(notF),eʹččpieʹll,,,,,Moshnikoff & Moshnikoff 2021: 78,
fSW,mââʹnnj,,,,,Moshnikoff & Moshnikoff 2021: 209; Pelto 1962: 68–69,
fSW,neeʹvesǩ,,,,,Moshnikoff & Moshnikoff 2021: 209,
fSWM,laajj,,,,,Moshnikoff & Moshnikoff 2021: 20,
fSWF,laajj,,,,,Moshnikoff & Moshnikoff 2021: 20,
fDH,vivv,,,,,Moshnikoff & Moshnikoff 2021: 442,
fDH,zeeʹtt,,,,,Moshnikoff & Moshnikoff 2021: 442,
fDHM,laajj,,,,,Moshnikoff & Moshnikoff 2021: 20,
fDHF,laajj,,,,,Moshnikoff & Moshnikoff 2021: 20,
fFZH,maakk,,,,,Pelto 1962: 68–69,
fFBW,eʹmm,,,,,Moshnikoff & Moshnikoff 2021: 159; Pelto 1962: 68–69,
fMZH,maakäʹjj,,,,,Moshnikoff & Moshnikoff 2021: 169,
fMZH,jeäʹnnbieʹll,,,,,Moshnikoff & Moshnikoff 2021: 34,
fMBW,eʹmm,,,,,Moshnikoff & Moshnikoff 2021: 159; Pelto 1962: 68–69,
fWZH,svaaik,,,,,Moshnikoff & Moshnikoff 2021: 169; Pelto 1962: 68–69,
fHBW,kääljeäʹnn,,,,,Moshnikoff & Moshnikoff 2021: 159,
